ISSN,Título,Estrato,quadrienio
2179-3433,BRAZILIAN JOURNAL OF ANALYTICAL CHEMISTRY,B1,2021-2024
2179-4057,REVISTA PSICOPEDAGOGIA,A3,2021-2024
2179-426X,RENCIMA,A1,2021-2024
2179-460X,REVISTA CIÊNCIA E NATURA,B1,2021-2024
2179-684X,REVISTA BRASILEIRA DE ADMINISTRAÇÃO CIENTÍFICA,C,2021-2024
2179-6858,REVISTA IBERO-AMERICANA DE CIÊNCIAS AMBIENTAIS,C,2021-2024
2179-7374,REVISTA EDUCAÇÃO GRÁFICA,A3,2021-2024
2179-7692,REVISTA DE ENFERMAGEM DA UFSM,B1,2021-2024
2179-8451,TENDÊNCIAS EM MATEMÁTICA APLICADA E COMPUTACIONAL,B2,2021-2024
2180-1347,INTERNATIONAL JOURNAL OF HUMAN COMPUTER INTERACTION,C,2021-2024
2182-1801,REVISTA DE CIÊNCIAS DA COMPUTAÇÃO,C,2021-2024
2182-4967,RE@D,A3,2021-2024
2182-7796,INTERNATIONAL JOURNAL OF INFORMATION SYSTEMS AND PROJECT MANAGEMENT,A3,2021-2024
2182-9608,REVISTA DA UIIPS,A3,2021-2024
2183-5462,MEDIA & JORNALISMO,A2,2021-2024
2184-562X,REVISTA H2D - HUMANIDADES DIGITAIS,A3,2021-2024
2184-9021,PERSPETIVAS DA CONTEMPORANEIDADE,C,2021-2024
2185-3118,INTERNATIONAL JOURNAL OF INTELLIGENT ENGINEERING AND SYSTEMS (ONLINE),A3,2021-2024
2189-3756,PURE AND APPLIED FUNCTIONAL ANALYSIS,B3,2021-2024
2190-0558,JOURNAL OF PETROLEUM EXPLORATION AND PRODUCTION TECHNOLOGY,A2,2021-2024
2190-0566,JOURNAL OF PETROLEUM EXPLORATION AND PRODUCTION TECHNOLOGY,A2,2021-2024
2190-5983,JOURNAL OF MATHEMATICS IN INDUSTRY,A4,2021-2024
2190-7188,HEALTH AND TECHNOLOGY,A3,2021-2024
2190-8508,JOURNAL OF CRYPTOGRAPHIC ENGINEERING,A4,2021-2024
2192-113X,"JOURNAL OF CLOUD COMPUTING: ADVANCES, SYSTEMS AND APPLICATIONS",A2,2021-2024
2192-4376,EURO JOURNAL ON TRANSPORTATION AND LOGISTICS,A3,2021-2024
2192-4406,EURO JOURNAL ON COMPUTATIONAL OPTIMIZATION,A3,2021-2024
2192-6611,INTERNATIONAL JOURNAL OF MULTIMEDIA INFORMATION RETRIEVAL,A1,2021-2024
2192-6670,NETWORK MODELING ANALYSIS IN HEALTH INFORMATICS AND BIOINFORMATICS,A2,2021-2024
2193-1127,EPJ DATA SCIENCE,A2,2021-2024
2193-567X,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING (IMPRESSO),A1,2021-2024
2193-8245,OPHTHALMOLOGY AND THERAPY,A3,2021-2024
2194-9050,"ISPRS ANNALS OF THE PHOTOGRAMMETRY, REMOTE SENSING AND SPATIAL INFORMATION SCIENCES",B1,2021-2024
2195-1721,JOURNAL OF SOFTWARE ENGINEERING RESEARCH AND DEVELOPMENT,A4,2021-2024
2195-3880,"JOURNAL OF CONTROL, AUTOMATION AND ELECTRICAL SYSTEMS (IMPRESSO)",A4,2021-2024
2195-3899,"JOURNAL OF CONTROL, AUTOMATION AND ELECTRICAL SYSTEMS",A4,2021-2024
2195-4194,EEUROPEAN JOURNAL OF FUTURES,A1,2021-2024
2196-1115,JOURNAL OF BIG DATA,A1,2021-2024
2196-7091,SMART LEARNING ENVIRONMENTS,A1,2021-2024
2196-7237,LASERS IN MANUFACTURING AND MATERIALS PROCESSING,A4,2021-2024
2197-9553,SPRINGER GEOLOGY,B3,2021-2024
2197-9995,JOURNAL OF COMPUTERS IN EDUCATION,A1,2021-2024
2198-5812,ANNALS OF DATA SCIENCE,A2,2021-2024
2198-6053,COMPLEX & INTELLIGENT SYSTEMS,A1,2021-2024
2199-4676,JOURNAL OF RELIABLE INTELLIGENT ENVIRONMENTS,A2,2021-2024
2199-8531,"JOURNAL OF OPEN INNOVATION: TECHNOLOGY, MARKET, AND COMPLEXITY (JOITMC)",A1,2021-2024
2199-899X,PROCEEDINGS OF IAHS (ONLINE),B1,2021-2024
2202-3518,THE AUSTRALASIAN JOURNAL OF COMBINATORICS,B2,2021-2024
2210-142X,INTERNATIONAL JOURNAL OF COMPUTING AND DIGITAL SYSTEMS,B2,2021-2024
2210-4968,SEMANTIC WEB (ONLINE),A2,2021-2024
2210-5379,SUSTAINABLE COMPUTING: INFORMATICS AND SYSTEMS,A1,2021-2024
2210-6502,SWARM AND EVOLUTIONARY COMPUTATION,A1,2021-2024
2210-6707,SUSTAINABLE CITIES AND SOCIETY,A1,2021-2024
2210-7703,INTERNATIONAL JOURNAL OF CLINICAL PHARMACY,A1,2021-2024
2211-1662,"TECHNOLOGY, KNOWLEDGE AND LEARNING",A1,2021-2024
2211-1670,"TECHNOLOGY, KNOWLEDGE AND LEARNING",A1,2021-2024
2211-2855,NANO ENERGY,A1,2021-2024
2211-3797,RESULTS IN PHYSICS,A3,2021-2024
2211-5242,"DISABILITY, CBR & INCLUSIVE DEVELOPMENT",B2,2021-2024
2211-6753,SPATIAL STATISTICS,A2,2021-2024
2211-6923,OPERATIONS RESEARCH FOR HEALTH CARE,A3,2021-2024
2211-8837,HEALTH POLICY AND TECHNOLOGY,A2,2021-2024
2212-4403,"ORAL SURGERY, ORAL MEDICINE, ORAL PATHOLOGY AND ORAL RADIOLOGY",A2,2021-2024
2212-7984,BENTHAM SCIENCE PUBLISHERS LTD.,A3,2021-2024
2212-8689,INTERNATIONAL JOURNAL OF CHILD-COMPUTER INTERACTION (IMPRESSO),A1,2021-2024
2213-1337,ASTRONOMY AND COMPUTING,A4,2021-2024
2213-1388,SUSTAINABLE ENERGY TECHNOLOGIES AND ASSESSMENTS AN INTERNATIONAL JOURNAL,A1,2021-2024
2213-5979,PHOTOACOUSTICS (AMSTERDAM),A1,2021-2024
2213-624X,CASE STUDIES ON TRANSPORT POLICY,A2,2021-2024
2213-7165,JOURNAL OF GLOBAL ANTIMICROBIAL RESISTANCE,A2,2021-2024
2214-2096,VEHICULAR COMMUNICATIONS,A2,2021-2024
2214-2126,JOURNAL OF INFORMATION SECURITY AND APPLICATIONS,A1,2021-2024
2214-2894,FOOD PACKAGING AND SHELF LIFE,A1,2021-2024
2214-3173,INFORMATION PROCESSING IN AGRICULTURE,A1,2021-2024
2214-4269,MOLECULAR GENETICS AND METABOLISM REPORTS,B1,2021-2024
2214-5095,CASE STUDIES IN CONSTRUCTION MATERIALS,A1,2021-2024
2214-5796,BIG DATA RESEARCH,A2,2021-2024
2214-7160,OPERATIONS RESEARCH PERSPECTIVES,A1,2021-2024
2214-8604,ADDITIVE MANUFACTURING,A1,2021-2024
2215-0161,METHODSX,A2,2021-2024
2215-0986,"ENGINEERING SCIENCE AND TECHNOLOGY, AN INTERNATIONAL JOURNAL",A1,2021-2024
2215-3411,ODOVTOS - INTERNATIONAL JOURNAL OF DENTAL SCIENCES,B2,2021-2024
2216-0159,REVISTA PRAXIS & SABER: MAESTRÍA EN EDUCACIÓN,A1,2021-2024
2218-1989,METABOLITES,A4,2021-2024
2218-273X,BIOMOLECULES,A2,2021-2024
2218-6581,ROBOTICS,C,2021-2024
2220-9964,ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,C,2021-2024
2221-870X,ACTA IMEKO,B1,2021-2024
2223-4292,QUANTITATIVE IMAGING IN MEDICINE AND SURGERY,A3,2021-2024
2224-2708,JOURNAL OF SENSOR AND ACTUATOR NETWORKS,C,2021-2024
2224-5766,RESEARCH ON HUMANITIES AND SOCIAL SCIENCES,A4,2021-2024
2225-1146,ECONOMETRICS,A3,2021-2024
2226-4310,AEROSPACE (ONLINE),C,2021-2024
2226-5856,JOURNAL OF URBAN MANAGEMENT,A1,2021-2024
2227-7080,TECHNOLOGIES,A4,2021-2024
2227-7102,EDUCATION SCIENCES,C,2021-2024
2227-7390,MATHEMATICS,C,2021-2024
2227-9032,HEALTHCARE,A3,2021-2024
2227-9059,BIOMEDICINES,A2,2021-2024
2227-9709,INFORMATICS,C,2021-2024
2227-9717,PROCESSES,B1,2021-2024
2230-8776,JOURNAL OF INFORMATION & SYSTEMS MANAGEMENT,B4,2021-2024
2230-9926,INTERNATIONAL JOURNAL OF DEVELOPMENT RESEARCH,C,2021-2024
2231-007X,INTERNATIONAL JOURNAL OF DATA MINING AND KNOWLEDGE MANAGEMENT PROCESS (IJDKP) (PRINT),B3,2021-2024
2231-1963,INTERNATIONAL JOURNAL OF ADVANCES IN ENGINEERING AND TECHNOLOGY,C,2021-2024
2231-525X,INTERNATIONAL JOURNAL OF IMAGING AND ROBOTICS,B4,2021-2024
2231-5381,INTERNATIONAL JOURNAL OF ENGINEERING TRENDS AND TECHNOLOGY,C,2021-2024
2233-7857,INTERNATIONAL JOURNAL OF FUTURE GENERATION COMMUNICATION AND NETWORKING,C,2021-2024
2234-943X,FRONTIERS IN ONCOLOGY,A3,2021-2024
2235-2988,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,A2,2021-2024
2236-0093,REVISTA JUNIOR DE INICIAÇÃO CIENTÍFICA EM CIÊNCIAS EXATAS E ENGENHARIA,C,2021-2024
2236-0158,REVISTA DE ENSINO DE ENGENHARIA,B2,2021-2024
2236-0700,REVISTA RAZÃO CONTÁBIL E FINANÇAS,B3,2021-2024
2236-0972,REVISTA DE GESTÃO E PROJETOS,A4,2021-2024
2236-1057,LATIN AMERICAN JOURNAL OF AQUATIC MAMMALS,B4,2021-2024
2236-1170,"REVISTA ELETRÔNICA EM GESTÃO, EDUCAÇÃO E TECNOLOGIA AMBIENTAL REGET-CT/UFSM",B2,2021-2024
2236-2207,PROJETICA,A1,2021-2024
2236-269X,INDEPENDENT JOURNAL OF MANAGEMENT & PRODUCTION,B4,2021-2024
2236-3297,SBC JOURNAL ON 3D INTERACTIVE SYSTEMS,A4,2021-2024
2236-417X,PERSPECTIVAS EM GESTÃO & CONHECIMENTO,B1,2021-2024
2236-5222,REVISTA DE CIÊNCIAS MÉDICAS E BIOLÓGICAS,B1,2021-2024
2236-5753,REVISTA EDICIC,A4,2021-2024
2236-5834,SAÚDE (SANTA MARIA),B1,2021-2024
2236-6784,REVISTA EXTENSÃO E CULTURA DA UFRB,B4,2021-2024
2236-9929,CADERNOS DA FUCAMP,A3,2021-2024
2237-0072,REVISTA ELETRÔNICA DE SISTEMAS DE INFORMAÇÃO E GESTÃO TECNOLÓGICA,B3,2021-2024
2237-0153,REVISTA TRILHAS PEDAGÓGICAS,B2,2021-2024
2237-0315,REVISTA COCAR (ONLINE),A2,2021-2024
2237-1036,REVISTA DE DIREITO INTERNACIONAL,A1,2021-2024
2237-1346,TRANSPORTES (RIO DE JANEIRO),A3,2021-2024
2237-1966,SEMIÁRIDO DE VISU,B1,2021-2024
2237-2083,REVISTA DE ESTUDOS DA LINGUAGEM,A1,2021-2024
2237-2903,REVISTA DE SISTEMAS E COMPUTAÇÃO - RSC,B4,2021-2024
2237-3195,PERSPECTIVA HISTÓRICA,C,2021-2024
2237-3713,REVISTA DE TECNOLOGIA APLICADA,B1,2021-2024
2237-4450,ENSINO DE CIÊNCIAS E TECNOLOGIA EM REVISTA,A4,2021-2024
2237-4558,NAVUS REVISTA DE GESTÃO E TECNOLOGIA,A4,2021-2024
2237-5112,REVISTA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,B4,2021-2024
2237-826X,ATOZ: NOVAS PRÁTICAS EM INFORMAÇÃO E CONHECIMENTO,A2,2021-2024
2237-8642,REVISTA BRASILEIRA DE CLIMATOLOGIA,A3,2021-2024
2237-9185,REVISTA EDUCAR MAIS (ONLINE),A2,2021-2024
2237-9223,REVISTA BRASILEIRA DE CRIMINALISTICA,A2,2021-2024
2237-9622,EPIDEMIOLOGIA E SERVIÇOS DE SAÚDE,A2,2021-2024
2237-9851,REVISTA ABCM ENGENHARIA,B4,2021-2024
2238-0507,PERSPECTIVAS EM CIÊNCIAS TECNOLÓGICAS,B4,2021-2024
2238-0515,"EMPREENDEDORISMO, GESTÃO E NEGÓCIOS REVISTA DO CURSO DE ADMINISTRAÇÃO",B4,2021-2024
2238-1279,EDUCAÇÃO E CULTURA CONTEMPORÂNEA (ONLINE),A2,2021-2024
2238-2097,REVISTA EDUCAÇÃO PÚBLICA DA UFMT,A2,2021-2024
2238-2380,"REVISTA DE EDUCAÇÃO, CIÊNCIAS E MATEMÁTICA",A4,2021-2024
2238-2542,E-REVISTA LOGO,B1,2021-2024
2238-2763,REVISTA BRASILEIRA DE ESTUDOS DA FUNÇÃO PÚBLICA - RBEFP,C,2021-2024
2238-3603,COMPUTATIONAL AND APPLIED MATHEMATICS,A2,2021-2024
2238-4782,ETHNOBIOLOGY AND CONSERVATION (ONLINE),A2,2021-2024
2238-5800,REVISTA PARANAENSE DE EDUCAÇÃO MATEMÁTICA,A2,2021-2024
2238-6963,PARTICIPAÇÃO,B3,2021-2024
2238-7315,REVISTA CONEXÃO UEPG,A2,2021-2024
2238-8079,"TEAR - REVISTA DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA",A4,2021-2024
2238-8753,REVISTA GESTÃO & SUSTENTABILIDADE AMBIENTAL,B1,2021-2024
2238-8893,"REVISTA AMAZÔNIA, ORGANIZAÇÕES E SUSTENTABILIDADE",B1,2021-2024
2249-0868,INTERNATIONAL JOURNAL OF APPLIED INFORMATION SYSTEMS,C,2021-2024
2249-4618,GLOBAL JOURNAL OF MEDICAL RESEARCH,B3,2021-2024
2249-6645,INTERNATIONAL JOURNAL OF MODERN ENGINEERING RESEARCH,C,2021-2024
2250-3765,INTERNATIONAL JOURNAL OF ADVANCES IN COMPUTER SCIENCE AND ITS APPLICATIONS,B2,2021-2024
2252-8938,IAES INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE (IJ-AI),A4,2021-2024
2254-7630,REVISTA CARIBEÑA DE CIENCIAS SOCIALES,C,2021-2024
2255-2863,ADVANCES IN DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE JOURNAL,B2,2021-2024
2263-8733,JOURNAL OF COMPUTER VIROLOGY AND HACKING TECHNIQUES (ONLINE),A3,2021-2024
2278-0181,INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH & TECHNOLOGY,C,2021-2024
2278-067X,INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH AND DEVELOPMENT,C,2021-2024
2278-1307,INTERNATIONAL JOURNAL ON NATURAL LANGUAGE COMPUTING (ONLINE),B2,2021-2024
2278-4721,RESEARCH INVENTY: INTERNATIONAL JOURNAL OF ENGINEERING AND SCIENCE,C,2021-2024
2278-487X,IOSR JOURNAL OF BUSINESS AND MANAGEMENT (IOSR-JBM),C,2021-2024
2281-3993,ACADEMIC JOURNAL OF INTERDISCIPLINARY STUDIES,A3,2021-2024
2286-4822,EUROPEAN ACADEMIC RESEARCH,C,2021-2024
2291-9279,JMIR SERIOUS GAMES,A1,2021-2024
2291-9694,JMIR MEDICAL INFORMATICS,A2,2021-2024
2292-9495,JMIR HUMAN FACTORS,A3,2021-2024
2296-2360,FRONTIERS IN PEDIATRICS,B1,2021-2024
2296-2565,FRONTIERS IN PUBLIC HEALTH,A1,2021-2024
2296-2646,FRONTIERS IN CHEMISTRY,A2,2021-2024
2296-424X,FRONTIERS IN PHYSICS,A4,2021-2024
2296-634X,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,A1,2021-2024
2296-665X,FRONTIERS IN ENVIRONMENTAL SCIENCE,A3,2021-2024
2296-6846,FRONTIERS FOR YOUNG MINDS,C,2021-2024
2296-701X,FRONTIERS IN ECOLOGY AND EVOLUTION,A3,2021-2024
2296-858X,FRONTIERS IN MEDICINE,A2,2021-2024
2296-875X,FRONTIERS IN SURGERY,B1,2021-2024
2296-889X,FRONTIERS IN MOLECULAR BIOSCIENCES,A2,2021-2024
2296-9144,FRONTIERS IN ROBOTICS AND AI,C,2021-2024
2297-055X,FRONTIERS IN CARDIOVASCULAR MEDICINE,A3,2021-2024
2297-1769,FRONTIERS IN VETERINARY SCIENCE,A1,2021-2024
2297-8747,MATHEMATICAL AND COMPUTATIONAL APPLICATIONS,C,2021-2024
2300-7451,SPECIAL MATRICES,A3,2021-2024
2304-0106,ANALES DE LA ACADEMIA DE CIENCIAS DE CUBA (AACC),A4,2021-2024
2304-6732,PHOTONICS,A4,2021-2024
2304-8158,FOODS,A2,2021-2024
2305-6290,LOGISTICS,C,2021-2024
2305-6703,STANDARDS,C,2021-2024
2306-0212,BULLETIN OF THE TECHNICAL COMMITTEE ON LEARNING TECHNOLOGY,B3,2021-2024
2306-5354,BIOENGINEERING,B1,2021-2024
2306-5729,DATA,C,2021-2024
2306-6172,EURASIAN JOURNAL OF MATHEMATICAL AND COMPUTER APPLICATIONS (PRINT),B2,2021-2024
2307-1885,JOURNAL OF ENGINEERING RESEARCH,B1,2021-2024
2307-2113,REVISTA CUBANA DE INFORMACIÓN EN CIENCIAS DE LA SALUD,A3,2021-2024
2310-5070,"STATISTICS, OPTIMIZATION AND INFORMATION COMPUTING",A4,2021-2024
2311-5521,FLUIDS,C,2021-2024
2313-433X,JOURNAL OF IMAGING,C,2021-2024
2313-4402,"AMERICAN SCIENTIFIC RESEARCH JOURNAL FOR ENGINEERING, TECHNOLOGY, AND SCIENCES (ASRJETS)",C,2021-2024
2313-4410,"AMERICAN SCIENTIFIC RESEARCH JOURNAL FOR ENGINEERING, TECHNOLOGY, AND SCIENCES",C,2021-2024
2313-8734,SUPERCOMPUTING FRONTIERS AND INNOVATIONS,B2,2021-2024
2314-6141,BIOMED RESEARCH INTERNATIONAL,A2,2021-2024
2316-1493,REVISTA TURISMO ESTUDOS E PRÁTICAS,A4,2021-2024
2316-3127,IDEIAS E INOVAÇÃO LATO SENSU,B3,2021-2024
2316-3712,REVISTA DE GESTÃO EM SISTEMAS DE SAÚDE,B2,2021-2024
2316-3801,INTERFACES CIENTÍFICAS - HUMANAS E SOCIAIS,A2,2021-2024
2316-3828,INTERFACES CIENTÍFICAS - EDUCAÇÃO,A3,2021-2024
2316-4522,REVISTA MILITAR DE CIÊNCIA E TECNOLOGIA,B3,2021-2024
2316-4891,COLEÇÃO MEIRA MATTOS - REVISTA DAS CIÊNCIAS MILITARES (ONLINE),B1,2021-2024
2316-6517,INTERNATIONAL JOURNAL OF KNOWLEDGE ENGINEERING AND MANAGEMENT - IJKEM,B2,2021-2024
2316-6614,BELAS INFIÉIS,A2,2021-2024
2316-6746,REVISTA LABORATIVA,A4,2021-2024
2316-770X,REVISTA DA UFMG,A4,2021-2024
2316-7963,HUMAN FACTORS IN DESIGN,A3,2021-2024
2316-9036,REVISTA USP,A1,2021-2024
2316-9141,REVISTA DE HISTÓRIA,A1,2021-2024
2316-9281,SCIENTIFIC ELECTRONIC ARCHIVES,B1,2021-2024
2316-9451,ABAKÓS,B3,2021-2024
2316-9834,REVISTA DE GESTAO AMBIENTAL E SUSTENTABILIDADE,B1,2021-2024
2316-9907,"CADERNOS DE EDUCAÇÃO, TECNOLOGIA E SOCIEDADE",A3,2021-2024
2316-9915,INTERNATIONAL JOURNAL OF COMPUTER ARCHITECTURE EDUCATION,B1,2021-2024
2317-0026,CADERNOS DE PROSPECÇÃO,A4,2021-2024
2317-0093,EDUCAÇÃO EM FOCO (UEMG) ONLINE,A3,2021-2024
2317-0115,RMP - REVISTA DOS MESTRADOS PROFISSIONAIS,B3,2021-2024
2317-0840,SIGMAE,B2,2021-2024
2317-1782,CODAS,A3,2021-2024
2317-269X,"VIGILÂNCIA SANITÁRIA EM DEBATE: SOCIEDADE, CIÊNCIA & TECNOLOGIA",B2,2021-2024
2317-434X,"REVISTA INTERFACES - SAÚDE, HUMANAS E TECNOLOGIA",B4,2021-2024
2317-4536,CADERNOS DO IME - SÉRIE ESTATÍSTICA,C,2021-2024
2317-5451,REVISTA ELO - DIÁLOGOS EM EXTENSÃO,B2,2021-2024
2317-5907,JOURNAL OF RESEARCH IN DENTISTRY,B3,2021-2024
2317-6121,REVISTA BRASILEIRA DE INFORMÁTICA NA EDUCAÇÃO,A3,2021-2024
2317-6369,REVISTA BRASILEIRA DE SAÚDE OCUPACIONAL,B1,2021-2024
2317-6377,PER MUSI (ONLINE),A4,2021-2024
2317-6385,EINSTEIN (SAO PAULO),A4,2021-2024
2317-6431,AUDIOLOGY - COMMUNICATION RESEARCH (ACR),B1,2021-2024
2317-6636,MATEMÁTICA CONTEMPORÂNEA,B2,2021-2024
2317-6822,ARCHIVES OF VETERINARY SCIENCE,B3,2021-2024
2317-904X,EDUCAÇÃO MATEMÁTICA EM REVISTA,A2,2021-2024
2317-918X,ARQUIVO JURÍDICO – REVISTA JURÍDICA ELETRÔNICA DA UNIVERSIDADE FEDERAL DO PIAUÍ,A3,2021-2024
2317-9511,TRADTERM,A3,2021-2024
2317-9937,REVISTA VÓRTEX,A1,2021-2024
2318-0331,REVISTA BRASILEIRA DE RECURSOS HÍDRICOS,A3,2021-2024
2318-0692,REVISTA DE ENGENHARIA DA UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,B2,2021-2024
2318-0722,REVISTA CIÊNCIAS ADMINISTRATIVAS,A4,2021-2024
2318-0889,TRANSINFORMAÇÃO,A1,2021-2024
2318-2369,PRÁXIS: SABERES DA EXTENSÃO,B3,2021-2024
2318-2962,CADERNO DE GEOGRAFIA,A1,2021-2024
2318-3160,POLIÉTICA. REVISTA DE ÉTICA E FILOSOFIA POLÍTICA,A2,2021-2024
2318-5694,"TRÍADE: COMUNICAÇÃO, CULTURA E MÍDIA",A4,2021-2024
2318-7344,@RQUIVO BRASILEIRO DE EDUCAÇÃO,B1,2021-2024
2318-7670,NATIVA,B1,2021-2024
2318-7999,REVISTA DA FACULDADE MINEIRA DE DIREITO,A2,2021-2024
2318-8472,REVISTA NACIONAL DE GERENCIAMENTO DE CIDADES,A2,2021-2024
2318-8839,"TECNOLOGIAS, SOCIEDADE E CONHECIMENTO",A3,2021-2024
2318-9975,INTERNATIONAL JOURNAL OF INNOVATION,A4,2021-2024
2319-0612,BRAZILIAN JOURNAL OF RADIATION SCIENCES,A3,2021-2024
2319-0639,REVISTA BRASILEIRA DE GESTÃO E INOVAÇÃO,B2,2021-2024
2319-0817,REVISTA DE ESTUDOS EMPÍRICOS EM DIREITO,A2,2021-2024
2320-0057,JOURNAL OF SCIENTOMETRIC RESEARCH,C,2021-2024
2320-0243,INTERNATIONAL JOURNAL OF ADVANCED REMOTE SENSING AND GIS,B3,2021-2024
2320-8430,INTERNATIONAL JOURNAL ON CYBERNETICS & INFORMATICS (ONLINE),B2,2021-2024
2326-0254,"EYE AND VISION (LONDON, ENGLAND)",A1,2021-2024
2326-7461,THE INTERNATIONAL JOURNAL OF ETHICAL LEADERSHIP (PRINT),C,2021-2024
2326-7550,INTERNATIONAL JOURNAL OF CLOUD COMPUTING,B2,2021-2024
2327-4662,IEEE INTERNET OF THINGS JOURNAL,A1,2021-2024
2327-4697,IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING,A1,2021-2024
2327-5219,JOURNAL OF COMPUTER AND COMMUNICATIONS,C,2021-2024
2327-5634,SAE INTERNATIONAL JOURNAL OF TRANSPORTATION SAFETY,B2,2021-2024
2328-8957,OPEN FORUM INFECTIOUS DISEASES,A3,2021-2024
2329-423X,NEUROPHOTONICS,A1,2021-2024
2329-4302,JOURNAL OF MEDICAL IMAGING,A4,2021-2024
2329-924X,IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,A1,2021-2024
2329-9274,IEEE-CAA JOURNAL OF AUTOMATICA SINICA,A1,2021-2024
2329-9290,"IEEE/ACM TRANSACTIONS ON AUDIO, SPEECH AND LANGUAGE PROCESSING",A1,2021-2024
2330-1643,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,A1,2021-2024
2330-2674,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE: OPERATIONS & LOGISTICS,A2,2021-2024
2331-1916,COGENT ENGINEERING,A3,2021-2024
2331-1975,COGENT BUSINESS & MANAGEMENT,A1,2021-2024
2332-7790,IEEE TRANSACTIONS ON BIG DATA,A1,2021-2024
2332-8886,BIOELECTRONIC MEDICINE,A2,2021-2024
2332-9017,"ASCE-ASME JOURNAL OF RISK AND UNCERTAINTY IN ENGINEERING SYSTEMS, PART B: MECHANICAL ENGINEERING",A2,2021-2024
2333-5084,EARTH AND SPACE SCIENCE,A2,2021-2024
2333-8334,AIMS ENERGY,A4,2021-2024
2334-0762,THE FLORIDA ARTIFICIAL INTELLIGENCE RESEARCH SOCIETY (FLAIRS),B1,2021-2024
2334-265X,NPJ SCHIZOPHRENIA,A1,2021-2024
2335-8971,INFORMATICS IN EDUCATION (ONLINE),A1,2021-2024
2340-860X,CADERNOS DE DEREITO ACTUAL (IMPRESSO),A1,2021-2024
2349-6495,INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE,C,2021-2024
2351-8014,INTERNATIONAL JOURNAL OF INNOVATION AND SCIENTIFIC RESEARCH,B1,2021-2024
2352-1465,TRANSPORTATION RESEARCH PROCEDIA,B1,2021-2024
2352-152X,JOURNAL OF ENERGY STORAGE,A1,2021-2024
2352-2208,JOURNAL OF LOGICAL AND ALGEBRAIC METHODS IN PROGRAMMING,A2,2021-2024
2352-3042,GENES & DISEASE,A1,2021-2024
2352-4073,PLANT GENE,A3,2021-2024
2352-4677,"SUSTAINABLE ENERGY, GRIDS AND NETWORKS",A2,2021-2024
2352-4847,ENERGY REPORTS,A2,2021-2024
2352-4855,REGIONAL STUDIES IN MARINE SCIENCE,A2,2021-2024
2352-5134,AQUACULTURE REPORTS,A1,2021-2024
2352-6483,SMART HEALTH,A2,2021-2024
2352-7102,JOURNAL OF BUILDING ENGINEERING,A1,2021-2024
2352-7110,SOFTWAREX,A3,2021-2024
2352-8648,DIGITAL COMMUNICATIONS AND NETWORKS (ONLINE),A1,2021-2024
2352-9148,INFORMATICS IN MEDICINE UNLOCKED,A2,2021-2024
2352-9385,REMOTE SENSING APPLICATIONS: SOCIETY AND ENVIRONMENT,A1,2021-2024
2353-3390,MATHEMATICAL MORPHOLOGY - THEORY AND APPLICATIONS,B2,2021-2024
2357-707X,ENFERMAGEM EM FOCO,A4,2021-2024
2357-724X,BOLETIM ONLINE DE EDUCAÇÃO MATEMÁTICA,B1,2021-2024
2357-8017,REVISTA DO SERVICO PUBLICO (ONLINE),A3,2021-2024
2357-9226,REVISTA ECONÔMICA DO NORDESTE,A3,2021-2024
2357-9641,PAN AMERICAN JOURNAL OF AGING RESEARCH,B3,2021-2024
2358-0763,CIÊNCIA DA INFORMAÇÃO EM REVISTA,A3,2021-2024
2358-2200,REVISTA BRASILEIRA DE TECNOLOGIAS SOCIAIS,B2,2021-2024
2358-2286,LATIN AMERICAN JOURNAL OF ENERGY RESEARCH,B2,2021-2024
2358-2472,ARACÊ - DIREITOS HUMANOS EM REVISTA,B1,2021-2024
2358-2898,SAÚDE EM DEBATE,A2,2021-2024
2358-6508,REVISTA DE ENGENHARIA CIVIL IMED,B4,2021-2024
2358-7482,IF-SOPHIA,B2,2021-2024
2358-7806,LOGEION: FILOSOFIA DA INFORMAÇÃO,A2,2021-2024
2358-7814,P2P & INOVAÇÃO,A2,2021-2024
2358-8195,EXPRESSA EXTENSÃO,A4,2021-2024
2358-8322,HUMANIDADES & INOVAÇÃO,A3,2021-2024
2359-0599,CAMINHO ABERTO: REVISTA DE EXTENSÃO DO IFSC,A3,2021-2024
2359-1412,REVISTA BRASILEIRA DE GESTÃO AMBIENTAL E SUSTENTABILIDADE,B2,2021-2024
